study_section,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
Integrative and Clinical Endocrinology and Reproduction Study Section[ICER],7,0.3,0,1,1,1,1,0,0,1,2
Special Emphasis Panel[ZRG1-CB-F(02)M],7,0.3,0,1,1,1,1,0,1,1,1
Aging Systems and Geriatrics Study Section[ASG],7,0.3,0,0,1,1,1,1,1,1,1
Musculoskeletal Rehabilitation Sciences Study Section[MRS],7,0.3,1,1,1,1,1,0,1,1,0
Somatosensory and Chemosensory Systems Study Section[SCS],7,0.3,0,0,0,1,2,1,1,2,0
Special Emphasis Panel[ZRG1-BCMB-A(51)],7,0.3,0,1,1,1,1,1,1,1,0
Biodata Management and Analysis Study Section[BDMA],7,0.3,0,1,2,2,2,0,0,0,0
Cancer Etiology Study Section[CE],7,0.3,2,2,2,1,0,0,0,0,0
Special Emphasis Panel[ZRG1-DKUS-R(90)],6,0.2,0,0,0,1,1,1,1,1,1
Imaging Probes and Contrast Agents Study Section[IPCA],6,0.2,0,0,0,0,0,0,2,2,2
Special Emphasis Panel[ZRG1-DKUS-J(03)],6,0.2,0,0,0,0,0,1,2,2,1
Synthetic and Biological Chemistry A Study Section[SBCA],6,0.2,0,0,0,0,0,1,2,1,2
Special Emphasis Panel[ZRG1-CB-G(02)M],6,0.2,1,1,1,1,1,1,0,0,0
Medical Imaging Study Section[MEDI],6,0.2,1,1,1,2,1,0,0,0,0
Special Emphasis Panel[ZRG1-SBIB-V(02)M],6,0.2,0,0,2,2,2,0,0,0,0
Acute Neural Injury and Epilepsy Study Section[ANIE],6,0.2,2,1,1,1,1,0,0,0,0
Clinical Molecular Imaging and Probe Development[CMIP],6,0.2,2,2,1,1,0,0,0,0,0
Special Emphasis Panel[ZRG1 CB-J (55)],6,0.2,2,3,1,0,0,0,0,0,0
Special Emphasis Panel[ZRG1-CVRS-C(02)],5,0.2,0,0,0,0,0,1,1,2,1
Special Emphasis Panel[ZRG1-DKUS-A(90)],5,0.2,0,0,0,0,0,0,1,2,2
Synthetic and Biological Chemistry B Study Section[SBCB],5,0.2,1,0,0,0,0,1,1,1,1
Chronic Dysfunction and Integrative Neurodegeneration Study Section[CDIN],5,0.2,1,2,1,0,0,0,0,0,1
Macromolecular Structure and Function D Study Section[MSFD],5,0.2,0,0,0,0,1,1,1,1,1
ZNS1-SRB-M(01),5,0.2,0,0,0,0,0,0,1,3,1
Special Emphasis Panel[ZRG1-BDCN-Y(02)M],5,0.2,1,0,0,0,1,1,1,1,0
Special Emphasis Panel[ZRG1 MOSS-K (02)],5,0.2,0,0,0,0,2,2,0,1,0
Special Emphasis Panel[ZRG1-CVRS-C(02)M],5,0.2,0,0,0,1,1,1,2,0,0
Cellular Aspects of Diabetes and Obesity Study Section[CADO],5,0.2,0,1,1,1,1,1,0,0,0
Systemic Injury by Environmental Exposure[SIEE],5,0.2,0,1,1,1,1,1,0,0,0
Special Emphasis Panel[ZRG1-BDCN-R(90)M],5,0.2,0,1,2,1,1,0,0,0,0
Cancer Molecular Pathobiology Study Section[CAMP],5,0.2,1,1,1,1,1,0,0,0,0
Pathobiology of Kidney Disease Study Section[PBKD],5,0.2,1,1,1,1,1,0,0,0,0
"Biobehavioral Mechanisms of Emotion, Stress and Health Study Section[MESH]",4,0.2,0,0,0,0,0,1,1,1,1
Drug Discovery and Mechanisms of Antimicrobial Resistance Study Section[DDR],4,0.2,0,0,0,0,0,1,1,1,1
Somatosensory and Pain Systems Study Section[SPS],4,0.2,0,0,0,0,0,1,1,1,1
Special Emphasis Panel[ZRG1-BST-R(02)M],4,0.2,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-MOSS-R(02)S],4,0.2,0,0,0,0,0,1,1,1,1
Special Emphasis Panel[ZRG1-MOSS-S(02)M],4,0.2,0,0,0,0,1,1,1,1,0
Special Emphasis Panel[ZRG1-DKUS-M(04)],4,0.2,0,0,0,0,1,1,1,1,0
Special Emphasis Panel[ZRG1-BST-F(55)R],4,0.2,0,0,0,1,1,0,1,1,0
