study_section,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
Special Emphasis Panel[ZRG1-CB-J(55)R],3,0.1,0,0,0,0,0,0,1,2,0
Special Emphasis Panel[ZRG1 IDIB-J (50)],3,0.1,0,0,0,0,0,0,0,3,0
Special Emphasis Panel[ZRG1 OTC1-J (55)],3,0.1,0,0,0,0,0,0,0,3,0
Special Emphasis Panel[ZRG1 OTC1-B (80)],3,0.1,0,0,0,0,0,0,0,3,0
ZHD1-DSR-L(50),3,0.1,0,0,0,0,0,0,0,3,0
Special Emphasis Panel[ZCA1 RPRB-6 (J2)],3,0.1,0,0,0,0,0,0,0,3,0
ZCA1-SRB-A(M1),3,0.1,0,0,0,0,0,0,0,3,0
Special Emphasis Panel[ZRG1-SBIB-H(82)],3,0.1,0,0,0,0,0,0,3,0,0
Special Emphasis Panel[ZRG1-EMNR-B(02)M],2,0.0,0,0,0,0,0,0,0,0,2
"Biobehavioral Mechanisms of Emotion, Stress and Health Study Section[MESH]",2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IMM-C(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-GGG-X(02)M],2,0.0,0,0,0,0,0,0,0,1,1
ZAI1-KSW-A(S1),2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-IMST-D(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BBBP-S(55)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BCMB-D(02)M],2,0.0,0,0,0,0,0,0,0,1,1
ZDK1-GRB-J(J1)S,2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-MDCN-G(05)M],2,0.0,0,0,0,0,0,0,0,1,1
Biobehavioral Medicine and Health Outcomes Study Section[BMHO],2,0.0,0,0,0,0,0,0,0,1,1
Pathophysiology of Obesity and Metabolic Disease Study Section[POMD],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1 NV-P (81)],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-SEIR-A(80)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1 DCAI-B (82)],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-PN-A(07)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-SEIR-S(80)S],2,0.0,0,0,0,0,0,0,0,1,1
Cardiovascular and Respiratory Diseases Study Section[CRD],2,0.0,0,0,0,0,0,0,0,0,2
ZDE1-CF(12),2,0.0,0,0,0,0,0,0,0,1,1
ZDK1-GRB-B(M2)S,2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-P(56)R],2,0.0,0,0,0,0,0,0,0,1,1
ZAI1-MFH-M(J1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1(02)-S],2,0.0,0,0,0,0,0,0,1,0,1
Special Emphasis Panel[ZRG1-IDIA-U(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-CB-A(50)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BDCN-R(02)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-CB-Z(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-N(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IDM-M(02)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IDIA-E(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MIM-R(01)],2,0.0,0,0,0,0,0,0,0,1,1
Cellular and Molecular Biology of Glia Study Section[CMBG-R],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-AIDC-Q(83)],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-HDM-F(03)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BDCN-N(55)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-EMNR-S(55)R],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-BCMB-G(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1(02)-M],2,0.0,0,0,0,0,0,0,0,1,1
Biochemistry and Biophysics of Membranes Study Section[BBM],2,0.0,0,0,0,0,0,0,0,1,1
Host Interactions with Bacterial Pathogens Study Section[HIBP],2,0.0,0,0,0,0,0,0,0,1,1
Bacterial Pathogenesis Study Section[BACP],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZHD1 DSR-A (50)],2,0.0,0,0,0,0,0,0,0,0,2
Neurobiology of Motivated Behavior Study Section[NMB],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-DKUS-J(05)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-AARR-P(58)R],2,0.0,0,0,0,0,0,0,0,1,1
"Social Psychology, Personality and Interpersonal Processes Study Section[SPIP]",2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-DKUS-D(90)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IMM-K(50)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OBT-S(02)M],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-IMM-H(02)],2,0.0,0,0,0,0,0,0,0,1,1
ZAG1-ZIJ-D(J1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BDCN-W(03)M],2,0.0,0,0,0,0,0,0,0,1,1
"Motor Function, Speech and Rehabilitation Study Section[MFSR]",2,0.0,0,0,0,0,0,0,0,1,1
ZHL1-CSR-Z(M2),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-DKUS-L(06)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OTC-D(08)F],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-OTC1-B(60)C],2,0.0,0,0,0,0,0,0,0,0,2
Tumor Host Interactions Study Section[THI],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1 BTC-C (02)],2,0.0,0,0,0,0,0,0,0,0,2
ZAG1-ZIJ-P(J4),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-GGG-S(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IMST-K(02)M],2,0.0,0,0,0,0,0,0,0,1,1
ZES1-LAT-D(R1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MOSS-V(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-AIDC-F(83)],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-IDM-W(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-R(04)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-DKUS-P(03)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IFCN-B(03)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BBBP-B(55)R],2,0.0,0,0,0,0,0,0,0,1,1
ZAI1-KKS-A(J1),2,0.0,0,0,0,0,0,0,0,1,1
Membrane Biology and Protein Processing Study Section[MBPP],2,0.0,0,0,0,0,0,0,0,1,1
ZCA1-SRB-K(M2)R,2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IDM-W(02)],2,0.0,0,0,0,0,0,0,0,1,1
Emerging Imaging Technologies in Neuroscience Study Section[EITN],2,0.0,0,0,0,0,0,0,0,1,1
NeuroAIDS and other End-Organ Diseases Study Section[NAED],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-P(57)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-EMNR-H(50)R],2,0.0,0,0,0,0,0,0,0,0,2
Special Emphasis Panel[ZRG1-RPHB-R(56)R],2,0.0,0,0,0,0,0,0,0,1,1
ZCA1-TCRB-Q(J1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BDCN-J(91)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-RPHB-R(59)R],2,0.0,0,0,0,0,0,0,0,1,1
ZCA1-SRB-5(J1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OTC-H(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OTC-E(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-SBIB-D(82)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-PSE-F(02)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IMM-N(90)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-T(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-CB-C(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OBT-Y(55)R],2,0.0,0,0,0,0,0,0,0,0,2
ZMH1-ERB-M(08),2,0.0,0,0,0,0,0,0,0,1,1
ZCA1-SRB-E(M1)R,2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1 SBIB-S (57)],2,0.0,0,0,0,0,0,0,0,0,2
Neurobiology of Pain and Itch Study Section [NPI],2,0.0,0,0,0,0,0,0,0,1,1
"Neuroendocrinology, Neuroimmunology, Rhythms and Sleep Study Section[NNRS]",2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OBT-B(55)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OTC-K(03)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-E(56)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-HDM-F(02)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OBT-K(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MDCN-M(91)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IMM-K(52)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-SBIB-Q(90)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-AARR-P(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IDIA-W(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OBT-S(55)R],2,0.0,0,0,0,0,0,0,0,1,1
ZCA1-SRB-T(M1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-ETTN-K(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-PSE-N(55)],2,0.0,0,0,0,0,0,0,0,1,1
ZDE1-YM(08),2,0.0,0,0,0,0,0,0,0,1,1
Health Disparities and Equity Promotion Study Section[HDEP],2,0.0,0,0,0,0,0,0,0,1,1
Molecular Genetics Study Section[MG],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-CB-F(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-DKUS-H(02)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-DKUS-A(04)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-BDCN-W(90)S],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-EMNR-F(55)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-AARR-Q(50)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-MOSS-Q(02)M],2,0.0,0,0,0,0,0,0,0,1,1
ZAI1-JBS-A(J1),2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-HDM-E(09)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1 OTC-L (02)],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OBT-J(55)R],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-AIDC-Y(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-OTC-B(02)M],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-PSE-W(56)R],2,0.0,0,0,0,0,0,0,0,1,1
AIDS-associated Opportunistic Infections and Cancer Study Section[AOIC],2,0.0,0,0,0,0,0,0,0,1,1
Special Emphasis Panel[ZRG1-IMM-M(02)],2,0.0,0,0,0,0,0,0,1,1,0
ZCA1-RPRB-Z(M3),2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-HDM-C(05)],2,0.0,0,0,0,0,0,0,1,1,0
ZCA1-RTRB-R(J2),2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-IMM-J(03)],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-BDCN-N(90)S],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-IMM-C(03)],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZAI1 KSW-A (S1)],2,0.0,0,0,0,0,0,0,0,2,0
Clinical Neuroscience and Neurodegeneration Study Section[CNN],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-BDCN-Y(02)M],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-OBT-E(55)R],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZDK1 GRB-J (J1)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1-MOSS-S(02)M],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1 CVRS-G (03)],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-OBT-X(02)M],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1-DKUS-P(04)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1 OTC-M (08)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1 AIDC-Q (83)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1-SEIR-B(80)],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1-VH-A(02)M],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1 OBT-S (02)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1-NRCS-V(08)],2,0.0,0,0,0,0,0,0,1,1,0
Special Emphasis Panel[ZRG1 AIDC-F (83)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1 EMNR-H (50)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1 SBIB-Q (57)],2,0.0,0,0,0,0,0,0,0,2,0
ZCA1-RTRB-U(M1),2,0.0,0,0,0,0,0,0,0,2,0
ZCA1-SRB-A(J1)R,2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1 IMST-U (55)],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1-IDM-M(02)M],2,0.0,0,0,0,0,0,0,1,1,0
ZDE1-CF(08),2,0.0,0,0,0,0,0,0,0,2,0
Biomedical Imaging Technology B Study Section[BMIT-B],2,0.0,0,0,0,0,0,0,0,2,0
Somatosensory and Chemosensory Systems Study Section[SCS],2,0.0,0,0,0,0,0,0,0,2,0
Special Emphasis Panel[ZRG1 IMM-C (02)],2,0.0,0,0,0,0,0,0,2,0,0
Special Emphasis Panel[ZRG1 BDCN-J (81)],2,0.0,0,0,0,0,0,0,2,0,0
Special Emphasis Panel[ZRG1 IIDB-V (91)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-HDM-N(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 HSS-W (02)],1,0.0,0,0,0,0,0,0,0,0,1
"Neurological, Mental and Behavioral Health Study Section[NMBH]",1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-EMNR-J(02)M],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 CVRS-B (03)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 CVRS-H (03)],1,0.0,0,0,0,0,0,0,0,0,1
Analytics and Statistics for Population Research Panel A Study Section[ASPA],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-DKUS-A(03)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIB-E(57)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 EMS-L (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 IVBH-D (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIA-B(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZAI1 LK-A (S2)],1,0.0,0,0,0,0,0,0,0,0,1
ZMD1-KNL(J1),1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 SBIB-C (03)],1,0.0,0,0,0,0,0,0,0,0,1
Cancer and Hematologic Disorders Study Section[CHD],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIA-L(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 NV-Q (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 BTC-W (80)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIA-D(90)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-BST-J(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZMH1 ERB-S (02)],1,0.0,0,0,0,0,0,0,0,0,1
ZDA1-GXM-A(10)R,1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 EMS-K (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZAA1 CC (04)],1,0.0,0,0,0,0,0,0,0,0,1
ZAA1-DD(03),1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-HDM-E(07)R],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 DKUS-B (03)],1,0.0,0,0,0,0,0,0,0,0,1
Analytics and Statistics for Population Research Panel B Study Section[ASPB],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIB-S(02)],1,0.0,0,0,0,0,0,0,0,0,1
ZLM1-LT-C(01),1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZDK1 GRB-T (O2)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 OBT-Y (02)],1,0.0,0,0,0,0,0,0,0,0,1
ZAG1-ZIJ-5(J1),1,0.0,0,0,0,0,0,0,0,0,1
Molecular and Cellular Biology of Virus Infection Study Section[MCV],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 BBBT-V (81)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 MCST-J (02)],1,0.0,0,0,0,0,0,0,0,0,1
ZCA1-RPRB-6(M)2,1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-CVRS-B(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 KUDS-Y (05)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-OBT-M(02)M],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 CTH-R (56)],1,0.0,0,0,0,0,0,0,0,0,1
Drug and Biologic Disposition and Toxicity Study Section[DBDT],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 AN-T (90)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 BDCN-Q (55)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-OBT-H(02)M],1,0.0,0,0,0,0,0,0,0,0,1
ZEB1-OSR-H(O2)R,1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 CDB-M (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 IMST-Q (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 KUDS-A (04)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZHD1 DSR-L (50)],1,0.0,0,0,0,0,0,0,0,0,1
ZES1-LWJ-S(IR),1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZMH1 ERB-G (03)],1,0.0,0,0,0,0,0,0,0,0,1
Molecular Cancer Diagnosis and Classification Study Section[MCDC],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 IMST-U (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-OBT-Y(56)R],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-PSE-C(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 TIR-W (01)],1,0.0,0,0,0,0,0,0,0,0,1
Pathophysiological Basis of Mental Disorders and Addictions Study Section[PMDA],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 IDIB-K (57)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 ISB-C (03)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 AN-Z (55)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 BTC-W (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 MDCN-B (56)],1,0.0,0,0,0,0,0,0,0,0,1
Neurogenesis and Cell Fate Study Section[NCF-M],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 DKUS-H (03)],1,0.0,0,0,0,0,0,0,0,0,1
Molecular Neurogenetics Study Section[MNG],1,0.0,0,0,0,0,0,0,0,0,1
"Synapses, Cytoskeleton and Trafficking Study Section[SYN]",1,0.0,0,0,0,0,0,0,0,0,1
"Clinical, Treatment and Health Services Research Study Section[AA-3]",1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 EMS-H (55)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 CTH-B (55)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 BTC-Q (80)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIA-R(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-IDIA-C(02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 ISB-J (03)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-OTC1-E(02)M],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1-MOSS-K(02)M],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 BBBT-M (82)],1,0.0,0,0,0,0,0,0,0,0,1
"Etiology, Diagnostic, Intervention and Treatment of Infectious Diseases Study Section[EDIT]",1,0.0,0,0,0,0,0,0,0,0,1
"Reproductive, Perinatal and Pediatric Health Study Section[RPPH]",1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZDK1 GRB-Q (O1)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 EMNR-C (02)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZHD1 DSR-H (55)],1,0.0,0,0,0,0,0,0,0,0,1
ZHD1(53),1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 IIDB-K (57)],1,0.0,0,0,0,0,0,0,0,0,1
Special Emphasis Panel[ZRG1 HDM-N (02)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 CVRS-A (05)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 EMNR-J (02)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 EMNR-F (50)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 DKUS-A (03)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 IDIB-E (57)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1(03)-S],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 IDIA-B (02)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZMD1 KNL (J1)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1(03)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-MDCN-L(03)M],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-IMM-T(57)R],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 IDIA-L (02)],1,0.0,0,0,0,0,0,0,0,1,0
ZCA1-RPRB-M(M9),1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-CVRS-K(02)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1(01)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-MOSS-C(02)M],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 BST-J (02)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1 IDIA-D (90)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZDA1 GXM-A (10)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-CADO-A(07)S],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1(05)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-DKUS-M(05)],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-AARR-Q(51)R],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1(03)-M],1,0.0,0,0,0,0,0,0,0,1,0
Special Emphasis Panel[ZRG1-BDCN-K(02)S],1,0.0,0,0,0,0,0,0,0,1,0
